,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
473,VA,17,243.0,115237.2005349794,94001.39917695473,21235.80135802469,1.991769547325103,0.0205761316872428,0.01646090534979424,0.8436213991769548,0.0411522633744856,0.20164609053497942,0.02880658436213992,0.0,0.13991769547325103,0.06995884773662552
474,VA,19,74.0,98939.13729729729,83145.94594594595,15793.19135135135,1.7027027027027026,0.013513513513513514,0.02702702702702703,0.4594594594594595,0.3918918918918919,0.16216216216216217,0.04054054054054054,0.0,0.06756756756756757,0.0945945945945946
475,VA,21,2.0,48503.08,40227.0,8276.080000000002,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
476,VA,23,4.0,129535.0,119979.55,9555.449999999997,2.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.0
477,VA,25,69.0,80436.26811594203,58803.47826086957,21632.789855072464,1.3043478260869565,0.3333333333333333,0.028985507246376812,0.07246376811594203,0.6376811594202898,0.2898550724637681,0.0,0.014492753623188406,0.028985507246376812,0.028985507246376812
478,VA,27,14.0,128143.0,72279.78571428571,55863.21428571428,2.2857142857142856,0.0,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.14285714285714285
479,VA,29,97.0,149968.15278350515,94863.33402061857,55104.8187628866,1.8556701030927836,0.17525773195876287,0.0,0.20618556701030927,0.218213058419244,0.18900343642611686,0.001718213058419244,0.0,0.1357388316151203,0.053264604810996555
480,VA,41,6.0,131553.5,124706.5,6847.0,2.1666666666666665,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.16666666666666666
481,VA,43,2.0,61831.979999999996,56274.5,5557.48,3.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
482,VI,11,1.0,74485.0,74485.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
483,VI,21,2.0,64944.0,57314.5,7629.5,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
484,VI,25,5.0,51601.6,46009.2,5592.4,1.2,0.2,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0
485,VT,11,2.0,177684.0,117967.0,59717.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
486,VT,13,1.0,85000.0,81890.0,3110.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
