USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
WY|5649400|1600000US5649400|02408202|McKinnon CDP|57|S|15155103|0|5.851|0.|41.031441|-109.9383
WY|5649775|1600000US5649775|02585082|Mammoth CDP|57|S|2040824|0|0.788|0.|44.97321|-110.692943
WY|5649980|1600000US5649980|02412940|Manderson town|43|A|2209701|132495|0.853|0.051|44.269757|-107.964202
WY|5650270|1600000US5650270|02412948|Manville town|43|A|703878|0|0.272|0.|42.779448|-104.617446
WY|5650415|1600000US5650415|02412954|Marbleton town|43|A|2349617|0|0.907|0.|42.557414|-110.100459
WY|5651285|1600000US5651285|02408805|Meadow Acres CDP|57|S|3639547|164409|1.405|0.063|42.859353|-106.094617
WY|5651575|1600000US5651575|02412974|Medicine Bow town|43|A|8956738|0|3.458|0.|41.899537|-106.201916
WY|5651720|1600000US5651720|02412979|Meeteetse town|43|A|3842499|0|1.484|0.|44.149391|-108.863236
WY|5652445|1600000US5652445|02412992|Midwest town|43|A|1254992|0|0.485|0.|43.410768|-106.277289
WY|5653460|1600000US5653460|02413001|Mills town|43|A|13191186|145675|5.093|0.056|42.849882|-106.39083
WY|5654185|1600000US5654185|02413010|Moorcroft town|43|A|3271228|0|1.263|0.|44.264483|-104.947564
WY|5654402|1600000US5654402|02408865|Moose Wilson Road CDP|57|S|17450483|627009|6.738|0.242|43.531488|-110.834831
WY|5655200|1600000US5655200|02408885|Mountain View CDP|57|S|6205443|0|2.396|0.|42.87744|-106.414668
WY|5655345|1600000US5655345|02413023|Mountain View town|43|A|2250370|0|0.869|0.|41.272351|-110.334073
WY|5656215|1600000US5656215|02411244|Newcastle city|25|A|6633021|0|2.561|0.|43.850271|-104.196487
WY|5656520|1600000US5656520|02631322|Nordic CDP|57|S|13075699|0|5.049|0.|43.079317|-110.991324
WY|5656700|1600000US5656700|02408946|North Rock Springs CDP|57|S|38220947|43943|14.757|0.017|41.669074|-109.287932
WY|5657375|1600000US5657375|02408969|Oakley CDP|57|S|472341|0|0.182|0.|41.750973|-110.526109
WY|5657810|1600000US5657810|02413082|Opal town|43|A|1184494|0|0.457|0.|41.767919|-110.324385
WY|5658100|1600000US5658100|02629279|Orin CDP|57|S|2653869|263772|1.025|0.102|42.651627|-105.177641
WY|5658680|1600000US5658680|02409002|Osage CDP|57|S|4985033|23047|1.925|0.009|43.98482|-104.434645
WY|5658970|1600000US5658970|02585083|Osmond CDP|57|S|8248285|0|3.185|0.|42.677715|-110.94076
WY|5659332|1600000US5659332|02409006|Owl Creek CDP|57|S|16916401|0|6.531|0.|43.781866|-108.56782
WY|5659985|1600000US5659985|02409032|Parkman CDP|57|S|24842898|50451|9.592|0.019|44.957086|-107.313456
WY|5660130|1600000US5660130|02413119|Pavillion town|43|A|521348|0|0.201|0.|43.244011|-108.689024
WY|5661435|1600000US5661435|02413131|Pine Bluffs town|43|A|10293820|0|3.974|0.|41.180212|-104.074782
WY|5661580|1600000US5661580|02413134|Pinedale town|43|A|5605831|0|2.164|0.|42.867585|-109.870527
WY|5661610|1600000US5661610|02413132|Pine Haven town|43|A|3411203|0|1.317|0.|44.353395|-104.810453
WY|5662160|1600000US5662160|02409083|Point of Rocks CDP|57|S|5605993|0|2.164|0.|41.683158|-108.775617
WY|5662269|1600000US5662269|02807542|Powder Horn CDP|57|S|4961948|0|1.916|0.|44.691195|-106.972716
WY|5662305|1600000US5662305|02409099|Powder River CDP|57|S|15341064|128619|5.923|0.05|43.052119|-106.990566
WY|5662450|1600000US5662450|02411481|Powell city|25|A|11106594|0|4.288|0.|44.761783|-108.757581
WY|5662812|1600000US5662812|02409111|Purple Sage CDP|57|S|886983|0|0.342|0.|41.551397|-109.319895
WY|5663100|1600000US5663100|02409121|Rafter J Ranch CDP|57|S|1708755|34307|0.66|0.013|43.430513|-110.791464
WY|5663465|1600000US5663465|02409126|Ralston CDP|57|S|14626561|11007|5.647|0.004|44.706765|-108.885627
WY|5663755|1600000US5663755|02412525|Ranchester town|43|A|1837206|0|0.709|0.|44.9076|-107.167323
WY|5663800|1600000US5663800|02409130|Ranchettes CDP|57|S|125923915|0|48.619|0.|41.218951|-104.772932
WY|5663900|1600000US5663900|02411524|Rawlins city|25|A|21363011|98642|8.248|0.038|41.78513|-107.224653
WY|5664400|1600000US5664400|02409148|Red Butte CDP|57|S|1135425|75633|0.438|0.029|42.806204|-106.434625
WY|5665060|1600000US5665060|02409162|Reliance CDP|57|S|10665237|0|4.118|0.|41.668186|-109.197692
WY|5666075|1600000US5666075|02412557|Riverside town|43|A|698268|0|0.27|0.|41.215414|-106.781343
WY|5666220|1600000US5666220|02410968|Riverton city|25|A|26828326|13567|10.358|0.005|43.026256|-108.381303
WY|5666655|1600000US5666655|02409191|Robertson CDP|57|S|8049911|0|3.108|0.|41.181571|-110.42739
WY|5667090|1600000US5667090|02412561|Rock River town|43|A|6025752|0|2.327|0.|41.731739|-105.975146
WY|5667235|1600000US5667235|02410976|Rock Springs city|25|A|51158711|0|19.752|0.|41.594705|-109.220921
WY|5667440|1600000US5667440|02412572|Rolling Hills town|43|A|2187331|0|0.845|0.|42.903807|-105.844544
WY|5667670|1600000US5667670|02585084|Ryan Park CDP|57|S|5393703|0|2.083|0.|41.313153|-106.489613
WY|5668685|1600000US5668685|02413260|Saratoga town|43|A|8801762|490865|3.398|0.19|41.452392|-106.81173
WY|5669700|1600000US5669700|02629282|Shell CDP|57|S|2955318|0|1.141|0.|44.534519|-107.784481
WY|5669845|1600000US5669845|02411887|Sheridan city|25|A|33677255|63695|13.003|0.025|44.796219|-106.964166
