USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
SD|4646980|1600000US4646980|01267523|Onaka town|43|A|671347|30301|0.259|0.012|45.19118|-99.464715
SD|4647180|1600000US4647180|01267524|Onida city|25|A|1740942|0|0.672|0.|44.704872|-100.067506
SD|4647340|1600000US4647340|02807105|Oral CDP|57|S|4335008|19976|1.674|0.008|43.406457|-103.261554
SD|4647460|1600000US4647460|01267525|Orient town|43|A|760570|16051|0.294|0.006|44.90171|-99.088712
SD|4647588|1600000US4647588|02813044|Orland Colony CDP|57|S|1311920|0|0.507|0.|43.821573|-97.199015
SD|4647660|1600000US4647660|01267526|Ortley town|43|A|5811863|0|2.244|0.|45.334946|-97.204946
SD|4648380|1600000US4648380|01267527|Parker city|25|A|3067849|0|1.185|0.|43.397701|-97.13352
SD|4648460|1600000US4648460|01267528|Parkston city|25|A|3385641|0|1.307|0.|43.392946|-97.986424
SD|4648500|1600000US4648500|02393179|Parmelee CDP|57|S|14799902|213282|5.714|0.082|43.333681|-101.042951
SD|4648820|1600000US4648820|02812995|Pearl Creek Colony CDP|57|S|914379|0|0.353|0.|44.326034|-97.918419
SD|4648940|1600000US4648940|01267529|Peever town|43|A|321681|0|0.124|0.|45.542235|-96.956123
SD|4648948|1600000US4648948|02813057|Peever Flats CDP|57|S|193572|0|0.075|0.|45.523388|-96.935548
SD|4649028|1600000US4649028|02813020|Pembrook Colony CDP|57|S|464128|16524|0.179|0.006|45.372963|-98.993046
SD|4649300|1600000US4649300|01267530|Philip city|25|A|1610336|0|0.622|0.|44.040888|-101.664804
SD|4649460|1600000US4649460|01267531|Pickstown town|43|A|1586708|0|0.613|0.|43.067007|-98.529614
SD|4649500|1600000US4649500|02547299|Piedmont city|25|A|4713190|0|1.82|0.|44.219913|-103.376821
SD|4649540|1600000US4649540|01267532|Pierpont town|43|A|393748|0|0.152|0.|45.495281|-97.832041
SD|4649600|1600000US4649600|01267533|Pierre city|25|A|33740238|54968|13.027|0.021|44.375163|-100.319996
SD|4649640|1600000US4649640|02584565|Pine Lakes Addition CDP|57|S|454690|0|0.176|0.|43.551178|-96.635417
SD|4649660|1600000US4649660|02393187|Pine Ridge CDP|57|S|7323095|0|2.827|0.|43.026919|-102.552352
SD|4649980|1600000US4649980|02807100|Plainview Colony CDP|57|S|545883|4419|0.211|0.002|45.581164|-99.011491
SD|4650020|1600000US4650020|01267534|Plankinton city|25|A|1977043|0|0.763|0.|43.715421|-98.483616
SD|4650260|1600000US4650260|01267535|Platte city|25|A|2725939|0|1.052|0.|43.386903|-98.843451
SD|4650310|1600000US4650310|02813004|Platte Colony CDP|57|S|798091|0|0.308|0.|43.467898|-99.126223
SD|4650988|1600000US4650988|02813056|Pleasant Valley Colony CDP|57|S|1280516|29240|0.494|0.011|44.058869|-96.470966
SD|4651220|1600000US4651220|02813026|Poinsett Colony CDP|57|S|664354|0|0.257|0.|44.64142|-96.900264
