,WORKSITE_STATE,13,15,17,19,25,11,21,29,27,41,43,23,31,35,39,49,53,12,47
0,AK,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.02631578947368421,0.7105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,0.039525691699604744,0.5652173913043478,0.08300395256916997,0.1383399209486166,0.07114624505928854,0.019762845849802372,0.003952569169960474,0.07905138339920949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AR,0.009345794392523364,0.8679906542056075,0.015186915887850467,0.010514018691588784,0.029205607476635514,0.04205607476635514,0.0,0.017523364485981307,0.004672897196261682,0.0035046728971962616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AZ,0.04134029590948651,0.737597911227154,0.057876414273281114,0.018276762402088774,0.022193211488250653,0.09399477806788512,0.0017406440382941688,0.017406440382941687,0.002175805047867711,0.0026109660574412533,0.004786771105308964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CA,0.045873597689659006,0.6486726646673331,0.1743492909770817,0.02003036025028694,0.00429486467473805,0.07116146469695286,0.0010737161686845125,0.005627753711725721,0.012699470546854752,0.013921285497426784,7.404939094375948e-05,0.002036358250953386,3.702469547187974e-05,3.702469547187974e-05,3.702469547187974e-05,3.702469547187974e-05,3.702469547187974e-05,0.0,0.0
5,CO,0.047696038803556995,0.7712206952303962,0.068714632174616,0.03556992724333064,0.0137429264349232,0.034761519805982216,0.0032336297493936943,0.0137429264349232,0.0032336297493936943,0.005658852061438965,0.0,0.0016168148746968471,0.0008084074373484236,0.0,0.0,0.0,0.0,0.0,0.0
6,CT,0.0916754478398314,0.6796628029504742,0.06954689146469968,0.0684931506849315,0.015806111696522657,0.0505795574288725,0.002107481559536354,0.012644889357218124,0.002107481559536354,0.006322444678609062,0.0,0.001053740779768177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DC,0.11479028697571744,0.5099337748344371,0.026490066225165563,0.1434878587196468,0.046357615894039736,0.07947019867549669,0.013245033112582781,0.026490066225165563,0.013245033112582781,0.002207505518763797,0.0,0.024282560706401765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DE,0.06435643564356436,0.8242574257425742,0.022277227722772276,0.01485148514851485,0.017326732673267328,0.0297029702970297,0.0,0.022277227722772276,0.0024752475247524753,0.0,0.0,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
